year,month,numb
1992,1,9846
1992,2,9383
1992,3,8801
1992,4,8734
1992,5,8648
1992,6,8088
1992,7,8303
1992,8,8025
1992,9,8039
1992,10,8721
1992,11,8439
1992,12,8831
1993,1,9836
1993,2,8525
1993,3,10274
1993,4,9385
1993,5,8577
1993,6,8038
1993,7,8319
1993,8,7772
1993,9,8095
1993,10,8523
1993,11,8934
1993,12,10437
1994,1,9868
1994,2,8578
1994,3,8947
1994,4,8508
1994,5,8256
1994,6,8471
1994,7,9247
1994,8,8266
1994,9,8152
1994,10,8575
1994,11,7994
1994,12,8826
1995,1,9491
1995,2,8140
1995,3,9860
1995,4,9062
1995,5,8756
1995,6,8306
1995,7,8545
1995,8,8195
1995,9,7752
1995,10,8448
1995,11,8293
1995,12,9862
1996,1,11031
1996,2,9548
1996,3,9458
1996,4,8849
1996,5,8562
1996,6,7945
1996,7,8125
1996,8,7616
1996,9,7716
1996,10,8126
1996,11,8153
1996,12,9099
1997,1,12407
1997,2,9113
1997,3,8712
1997,4,8134
1997,5,8266
1997,6,7920
1997,7,8046
1997,8,8148
1997,9,7611
1997,10,8427
1997,11,8475
1997,12,8563
1998,1,8997
1998,2,8860
1998,3,10490
1998,4,9368
1998,5,8600
1998,6,8032
1998,7,7895
1998,8,7963
1998,9,7959
1998,10,8477
1998,11,8383
1998,12,9583
1999,1,9489
1999,2,9172
1999,3,9996
1999,4,8511
1999,5,8377
1999,6,7906
1999,7,8326
1999,8,8272
1999,9,7739
1999,10,8634
1999,11,8437
1999,12,10074
2000,1,12010
2000,2,9172
2000,3,8789
2000,4,8418
2000,5,8248
2000,6,8197
2000,7,8240
2000,8,8255
2000,9,7735
2000,10,8367
2000,11,8627
2000,12,8863
2001,1,10108
2001,2,8465
2001,3,9116
2001,4,8564
2001,5,8874
2001,6,8302
2001,7,8303
2001,8,8280
2001,9,7740
2001,10,7975
2001,11,8269
2001,12,9478
2002,1,11106
2002,2,8965
2002,3,9173
2002,4,8740
2002,5,8462
2002,6,8080
2002,7,8411
2002,8,8292
2002,9,7810
2002,10,8616
2002,11,8317
2002,12,9695
2003,1,9913
2003,2,8915
2003,3,9456
2003,4,9114
2003,5,8475
2003,6,8235
2003,7,8388
2003,8,8628
2003,9,8222
2003,10,8650
2003,11,8627
2003,12,10445
2004,1,10358
2004,2,8589
2004,3,8894
2004,4,8329
2004,5,8103
2004,6,7924
2004,7,8122
2004,8,7838
2004,9,7736
2004,10,8407
2004,11,8211
2004,12,9453
2005,1,10042
2005,2,9413
2005,3,10409
2005,4,8468
2005,5,8465
2005,6,8104
2005,7,7629
2005,8,7515
2005,9,7514
2005,10,8294
2005,11,8068
2005,12,9384
2006,1,9707
2006,2,8585
2006,3,9476
2006,4,8320
2006,5,8214
2006,6,8063
2006,7,9114
2006,8,7709
2006,9,7682
2006,10,8016
2006,11,8008
2006,12,8720
2007,1,9500
2007,2,9121
2007,3,9036
2007,4,8485
2007,5,7966
2007,6,7779
2007,7,7847
2007,8,7619
2007,9,7674
2007,10,8350
2007,11,8850
2007,12,9833
2008,1,10235
2008,2,8860
2008,3,9469
2008,4,9163
2008,5,8556
2008,6,7909
2008,7,8119
2008,8,7849
2008,9,7684
2008,10,8486
2008,11,8557
2008,12,9700
2009,1,11188
2009,2,9699
2009,3,8986
2009,4,8348
2009,5,8026
2009,6,8057
2009,7,8089
2009,8,7870
2009,9,7744
2009,10,8672
2009,11,8462
2009,12,9368
2010,1,10125
2010,2,8869
2010,3,9282
2010,4,8326
2010,5,8552
2010,6,8277
2010,7,8537
2010,8,8029
2010,9,8113
2010,10,8568
2010,11,8447
2010,12,9969
2011,1,9815
2011,2,8342
2011,3,9115
2011,4,8432
2011,5,8453
2011,6,8291
2011,7,8127
2011,8,8167
2011,9,8079
2011,10,8673
2011,11,8763
2011,12,9990
2012,1,9942
2012,2,10816
2012,3,10489
2012,4,8939
2012,5,8891
2012,6,8189
2012,7,8229
2012,8,8158
2012,9,7905
2012,10,8945
2012,11,8831
2012,12,9700
2013,1,10354
2013,2,9903
2013,3,10699
2013,4,9763
2013,5,8797
2013,6,8615
2013,7,8460
2013,8,8056
2013,9,8026
2013,10,8676
2013,11,8505
2013,12,9441
2014,1,9576
2014,2,8804
2014,3,9347
2014,4,8625
2014,5,8633
2014,6,8065
2014,7,8650
2014,8,7976
2014,9,7954
2014,10,8531
2014,11,8558
2014,12,10004
2015,1,11269
2015,2,11052
2015,3,10475
2015,4,9143
2015,5,8743
2015,6,8306
2015,7,8455
2015,8,8285
2015,9,8049
2015,10,9074
2015,11,8443
2015,12,9214
2016,1,9911
2016,2,8995
2016,3,10170
2016,4,8979
2016,5,8852
2016,6,8007
2016,7,8586
2016,8,8485
2016,9,7983
2016,10,8868
2016,11,9087
2016,12,10133
2017,1,11828
2017,2,10516
2017,3,9419
2017,4,8459
2017,5,9097
2017,6,8221
2017,7,8227
2017,8,8236
2017,9,8108
2017,10,8769
2017,11,8638
2017,12,10111
2018,1,10360
2018,2,10089
2018,3,12202
2018,4,8971
2018,5,8559
2018,6,7793
2018,7,8918
2018,8,8499
2018,9,8044
2018,10,8666
2018,11,8729
2018,12,9815
2019,1,10468
2019,2,9766
2019,3,9998
2019,4,8901
2019,5,8829
2019,6,8276
2019,7,8755
2019,8,8242
2019,9,8003
2019,10,8888
2019,11,8867
2019,12,9752
